time,lowerBound,upperBound,title,temperature
25,NA,NA,Aunt Norma's Rhubarb Muffins,350
32.5,30,35,Vegan Banana Muffins,350
17.5,15,20,Vegan Agave Cornbread Muffins,325
20,NA,NA,Moist Banana Muffins,375
19,18,20,Banana Crumb Muffins,375
12.5,10,15,Banana Muffins II,350
22.5,20,25,Zucchini-Chocolate Chip Muffins,350
17.5,15,20,Classic Bran Muffins,375
30,NA,NA,Chef John's Blueberry Muffins,375
25,20,30,Quinoa Muffins,400
11,10,12,Mini Pumpkin Butterscotch Muffins,350
282.5,375,190,Morning Glory Muffins I,375
17.5,15,20,Toddler Muffins,375
22.5,20,25,Pumpkin Chocolate Chip Muffins,400
32.5,30,35,Addictive Pumpkin Muffins,350
25,NA,NA,Apple Pie Muffins,375
13.5,12,15,Whole Wheat Sweet Potato Muffins,350
22.5,20,25,To Die For Blueberry Muffins,400
22.5,20,25,Double Chocolate Cherry Muffins,400
285,375,195,Pumpkin Cream Cheese Muffins,375
13.5,12,15,Corn Muffins,400
17.5,15,20,Donut Muffins,375
19,18,20,Zucchini Yogurt Multigrain Muffins,400
27.5,25,30,Crab-Stuffed Corn Muffins,375
22.5,20,25,Pumpkin Muffins II,350
262.5,350,175,Aunt Blanche's Blueberry Muffins,350
17.5,15,20,Low-Fat Blueberry Bran Muffins,375
20,NA,NA,Easy Morning Glory Muffins,350
12.5,10,15,Cream Cheese-Blueberry Muffins,350
375,NA,NA,Blueberry Muffins II,375
20,NA,NA,Apple Strudel Muffins,375
20,NA,NA,Ultimate Banana Muffins,350
302.5,400,205,Banana Oat Muffins,400
25,NA,NA,Zucchini Raisin Muffins,350
10.5,10,11,Chocolate Chip Mini Muffins,400
17.5,15,20,Blueberry Orange Bran Muffin,375
300,400,200,Basic Corn Muffins,400
25,NA,NA,Brown Butter Pineapple Corn Muffins,375
18,NA,NA,Kid Muffins,375
22.5,20,25,Easy Pumpkin Muffins,350
25,NA,NA,Cream Cheese Filled Pumpkin Muffins,350
20,NA,NA,BBQ Pork-Stuffed Corn Muffins,400
30,25,35,Pumpkin Muffins with Streusel Topping,350
22.5,20,25,Hunnybunch's Special Apple Muffins,400
300,400,200,Banana Yogurt Muffins,400
15,NA,NA,Pistachio Muffins,375
262.5,350,175,Bran Flax Muffins,350
19,16,22,"Easy, Speedy Corn Muffins",400
22.5,20,25,Blueberry Zucchini Muffins,350
20,NA,NA,Moist Chocolate Muffins,400
25,NA,NA,Chef John's Sweet Potato Muffins,350
20,NA,NA,Roxie's Bran Muffins,400
35,NA,NA,Vegan Blueberry Muffins with Applesauce,350
11,NA,NA,Pumpkin Almond Mini Muffins,325
20,NA,NA,Lemon Poppy Seed Muffins,350
17.5,15,20,Autumn Muffins,375
37.5,35,40,Pumpkin Apple Streusel Muffins,350
25,NA,NA,Molasses Raisin Muffins,350
16.5,15,18,Almond Poppy Seed Muffins,350
30,NA,NA,Grandmother's Muffins,350
17.5,15,20,Orange-Walnut Muffins,375
25,20,30,Carrot and Cranberry Muffins,375
22.5,20,25,Caribbean Banana Muffins,350
20,NA,NA,Blueberry Pumpkin Muffins,400
17.5,15,20,Whole Wheat Pumpkin-Applesauce Muffins,400
22.5,20,25,Pumpkin Muffins with Cinnamon Streusel Topping,350
22.5,20,25,Cranberry Pumpkin Muffins,400
16.5,15,18,Health Nut Blueberry Muffins,350
20,NA,NA,Whole Wheat Blueberry Muffins,400
17.5,15,20,Lemony Poppy Seed Muffins,400
22.5,20,25,Peach Cobbler Muffins,350
25,NA,NA,Banana Muffins with a Crunch,350
30,25,35,Quick Lemon Poppy Seed Muffins,350
35,NA,NA,Spinach Cheddar Muffins,350
17.5,15,20,Keto Low-Carb Lemon Poppy Seed Muffins,350
400,NA,NA,Oat Bran Muffins,400
15,NA,NA,Oat and Blueberry Muffins,400
30,NA,NA,Healthy Sweet Potato Muffins,350
20,NA,NA,Savory Zucchini Chard Muffins,400
18,NA,NA,Pumpkin Wheat Honey Muffins,350
25,NA,NA,Rhubarb Muffins,350
17.5,15,20,Seminary Muffins,350
17.5,15,20,Pumpkin Chip Muffins,400
10,NA,NA,Easy Pepperoni Pizza Muffins,425
20,NA,NA,Blueberry Cream Muffins,400
35,30,40,Sarah's Banana Bread Muffins,350
27.5,25,30,Easy Pumpkin Spice Muffins,375
17.5,15,20,Blueberry Nut Muffins,425
19,18,20,Healthier Banana Crumb Muffins,375
19.5,17,22,Hearty Breakfast Muffins,375
15,NA,NA,Pumpkin-Dark Chocolate Chip Muffins,400
16,15,17,Raspberry Lemon Muffins,400
20,18,22,Apple Muffins,400
22.5,20,25,Streusel Topped Blueberry Muffins,375
25,NA,NA,Mocha Chocolate Chip Banana Muffins,350
15,14,16,Easy Banana Muffins,350
30,NA,NA,Pumpkin Pie Muffins,330
20,18,22,Whole Wheat Oatmeal Strawberry Blueberry Muffins,425
30,NA,NA,Best of the Best Blueberry Muffins,375
17,16,18,Chunky Monkey Muffins,350
27.5,25,30,Valentine's Day Strawberry Muffins,350
10,8,12,Monkey Bread Muffins,375
22.5,20,25,Blueberry Muffins I,400
17,NA,NA,Melt-In-Your-Mouth Blueberry Muffins,350
302.5,400,205,Honey Bran Muffins,NA
20,NA,NA,Healthier Bran Muffins,400
15,NA,NA,Millet Muffins,400
17,NA,NA,Whole30® Banana Bread Drop Muffins,350
22.5,20,25,Chocolate Chip Muffins,400
27.5,25,30,Banana Oat Muffins with Sour Cream,350
27.5,25,30,Passover Pumpkin Muffins,350
22.5,20,25,Fresh Fig Oatmeal Muffins,350
16.5,15,18,Plantain Corn Muffins,350
262.5,350,175,Jo Jo's Favorite Banana Muffins,NA
20,18,22,Vegan Blueberry Muffins,350
22.5,20,25,Pumpkin Muffins with a Twist,350
22.5,20,25,Cornbread Muffins I,400
30,NA,NA,Jumbo Fluffy Walnut Apple Muffins,375
20,NA,NA,B Muffins,400
17.5,15,20,Carrot Sweet Potato Muffins,350
22.5,20,25,Gluten-Free Teff Muffins,400
20,NA,NA,Fresh Pear-Almond Muffins,350
20,NA,NA,Pumpkin Yogurt Raisin Muffins,375
17.5,15,20,Superfood Blueberry Muffins,350
375,NA,NA,Strawberry Muffins,375
282.5,375,190,Morning Glory Muffins II,375
375,NA,NA,Maple Walnut Muffins,375
19,18,20,Strawberry Cinnamon Oatmeal Muffins,425
18,NA,NA,Scrumptious Bran Muffin,400
27.5,25,30,Sweet Corn Muffins with Real Corn,350
15,NA,NA,Kim's Virtuous Mini Pumpkin Muffins,375
322.5,425,220,Six Week Bran Muffins,NA
25,NA,NA,Peach Muffins,400
350,NA,NA,Delightful Apple Spice Muffins,NA
NA,NA,NA,Cinnamon Muffin in a Mug,NA
